name_prov,name_coun,code_coun,code_city,name_city,code_prov,name,id,address,大类,中类,小类,X,Y,X_processed,Y_processed,sub_ID,_timestamp,name_short
浙江省,余杭区,330110,330100,杭州市,330000,阿里巴巴(地铁站),BV11040976,(在建)机场轨道快线,交通设施服务,地铁站,地铁站,120.0156385,30.2823912,120.02,30.28,"(120.02, 30.28)",2021/7/6,阿里巴
浙江省,滨江区,330108,330100,杭州市,330000,奥体中心地铁站H1口,BX10032093,6号线,交通设施服务,地铁站,出入口,120.2272638,30.22432611,120.23,30.22,"(120.23, 30.22)",2021/7/6,奥体中
浙江省,临安区,330112,330100,杭州市,330000,八百里地铁站B口,BX10028987,16号线,交通设施服务,地铁站,出入口,119.7710614,30.26381027,119.77,30.26,"(119.77, 30.26)",2021/7/6,八百里
浙江省,余杭区,330110,330100,杭州市,330000,白洋(地铁站),BV10971059,2号线,交通设施服务,地铁站,地铁站,120.0680818,30.35342957,120.07,30.35,"(120.07, 30.35)",2021/7/6,白洋(
浙江省,拱墅区,330105,330100,杭州市,330000,宝善桥地铁站出入口,BX10029002,5号线,交通设施服务,地铁站,出入口,120.1752543,30.27340111,120.18,30.27,"(120.18, 30.27)",2021/7/6,宝善桥
浙江省,拱墅区,330105,330100,杭州市,330000,北大桥(地铁站),BV11211362,(在建)10号线一期,交通设施服务,地铁站,地铁站,120.1252575,30.30547722,120.13,30.31,"(120.13, 30.31)",2021/7/6,北大桥
浙江省,滨江区,330108,330100,杭州市,330000,滨和路地铁站C口,BX10013626,1号线,交通设施服务,地铁站,出入口,120.2128925,30.20144137,120.21,30.2,"(120.21, 30.2)",2021/7/6,滨和路
浙江省,滨江区,330108,330100,杭州市,330000,滨康路地铁站B口,BX10013529,1号线,交通设施服务,地铁站,出入口,120.2261471,30.18690131,120.23,30.19,"(120.23, 30.19)",2021/7/6,滨康路
浙江省,萧山区,330109,330100,杭州市,330000,博奥路地铁站D口,BX10029020,5号线,交通设施服务,地铁站,出入口,120.2404966,30.18445376,120.24,30.18,"(120.24, 30.18)",2021/7/6,博奥路
浙江省,萧山区,330109,330100,杭州市,330000,博览中心地铁站A1口,BX10031696,6号线,交通设施服务,地铁站,出入口,120.2330081,30.23462765,120.23,30.23,"(120.23, 30.23)",2021/7/6,博览中
浙江省,钱塘区,330114,330100,杭州市,330000,仓北村地铁站C口,BX10033016,8号线,交通设施服务,地铁站,出入口,120.5023488,30.29597145,120.5,30.3,"(120.5, 30.3)",2021/7/6,仓北村
浙江省,萧山区,330109,330100,杭州市,330000,曹家桥(地铁站),BV10338893,2号线,交通设施服务,地铁站,地铁站,120.2634088,30.13697842,120.26,30.14,"(120.26, 30.14)",2021/7/6,曹家桥
浙江省,萧山区,330109,330100,杭州市,330000,朝阳(地铁站),BV10338898,2号线,交通设施服务,地铁站,地铁站,120.2637708,30.12467343,120.26,30.12,"(120.26, 30.12)",2021/7/6,朝阳(
浙江省,拱墅区,330105,330100,杭州市,330000,潮王路(地铁站),BV11009907,(在建)3号线一期,交通设施服务,地铁站,地铁站,120.1545322,30.29151464,120.15,30.29,"(120.15, 30.29)",2021/7/6,潮王路
浙江省,滨江区,330108,330100,杭州市,330000,诚业路地铁站A口,BX10031691,6号线,交通设施服务,地铁站,出入口,120.1661492,30.18921872,120.17,30.19,"(120.17, 30.19)",2021/7/6,诚业路
浙江省,上城区,330102,330100,杭州市,330000,城星路地铁站D口,BX10023621,4号线,交通设施服务,地铁站,出入口,120.2024326,30.24094752,120.2,30.24,"(120.2, 30.24)",2021/7/6,城星路
浙江省,上城区,330102,330100,杭州市,330000,城站(地铁站),BV10187398,1号线;5号线,交通设施服务,地铁站,地铁站,120.1761542,30.24694603,120.18,30.25,"(120.18, 30.25)",2021/7/6,城站(
浙江省,西湖区,330106,330100,杭州市,330000,池华街(地铁站),BV11062308,(在建)4号线二期,交通设施服务,地铁站,地铁站,120.0649443,30.33098869,120.06,30.33,"(120.06, 30.33)",2021/7/6,池华街
浙江省,上城区,330102,330100,杭州市,330000,池塘庙·新麦桥(地铁站),BV11430102,(在建)机场轨道快线,交通设施服务,地铁站,地铁站,120.1941797,30.29999151,120.19,30.3,"(120.19, 30.3)",2021/7/6,池塘庙
浙江省,余杭区,330110,330100,杭州市,330000,储运路(地铁站),BV11062306,(在建)4号线二期,交通设施服务,地铁站,地铁站,120.1240836,30.35603578,120.12,30.36,"(120.12, 30.36)",2021/7/6,储运路
浙江省,余杭区,330110,330100,杭州市,330000,创景路地铁站A2口,BX10028924,5号线,交通设施服务,地铁站,出入口,119.9948355,30.28217439,119.99,30.28,"(119.99, 30.28)",2021/7/6,创景路
浙江省,余杭区,330110,330100,杭州市,330000,创明路(地铁站),BV11009897,(在建)3号线一期,交通设施服务,地铁站,地铁站,120.0014418,30.26443599,120,30.26,"(120, 30.26)",2021/7/6,创明路
浙江省,西湖区,330106,330100,杭州市,330000,翠柏路(地铁站),BV11211368,(在建)10号线一期,交通设施服务,地铁站,地铁站,120.1240799,30.29334519,120.12,30.29,"(120.12, 30.29)",2021/7/6,翠柏路
浙江省,拱墅区,330105,330100,杭州市,330000,打铁关地铁站B口,BX10013531,1号线,交通设施服务,地铁站,出入口,120.1716855,30.28814498,120.17,30.29,"(120.17, 30.29)",2021/7/6,打铁关
浙江省,拱墅区,330105,330100,杭州市,330000,大关(地铁站),BV11009911,(在建)3号线一期,交通设施服务,地铁站,地铁站,120.1439455,30.309899,120.14,30.31,"(120.14, 30.31)",2021/7/6,大关(
浙江省,拱墅区,330105,330100,杭州市,330000,大运河地铁站B口,BX10027029,5号线,交通设施服务,地铁站,出入口,120.126076,30.32175419,120.13,30.32,"(120.13, 30.32)",2021/7/6,大运河
浙江省,上城区,330102,330100,杭州市,330000,丁桥(地铁站),BV11009906,(在建)3号线一期,交通设施服务,地铁站,地铁站,120.2290736,30.35791768,120.23,30.36,"(120.23, 30.36)",2021/7/6,丁桥(
浙江省,上城区,330102,330100,杭州市,330000,定安路地铁站A口,BX10013553,1号线,交通设施服务,地铁站,出入口,120.164045,30.24862922,120.16,30.25,"(120.16, 30.25)",2021/7/6,定安路
