grid_id,hb_peo_density,hb_distance,up_la,down_la,right_lon,left_lon,lon,la,wb_peo_density,wb_distance,jh_density,jh_ratio,poi_sum,roaddensity,near_dist,time_to_sub,事件活动_count,交通设施服务_count,住宿服务_count,体育休闲服务_count,公共设施_count,公司企业_count,医疗保健服务_count,商务住宅_count,地名地址信息_count,室内设施_count,摩托车服务_count,政府机构及社会团体_count,汽车服务_count,汽车维修_count,汽车销售_count,生活服务_count,科教文化服务_count,购物服务_count,通行设施_count,道路附属设施_count,金融保险服务_count,风景名胜_count,餐饮服务_count,evenness,diversity
"(119.930703, 30.049438)",451,11.17835607,30.054438,30.044438,119.935703,119.925703,119.930703,30.049438,481,11.29696841,932,1.066518847,2516,18.86042253,31.68746227,5,0,97,17,43,14,112,46,39,136,715,0,47,18,4,0,308,99,441,78,0,37,1,264,0.770351766,2.268253768
"(119.930703, 30.059438)",423,11.73079698,30.064438,30.054438,119.935703,119.925703,119.930703,30.059438,273,7.154686591,696,0.645390071,1252,14.90560189,31.0695289,5,0,36,12,35,3,32,39,22,187,0,0,28,14,2,0,217,37,277,45,0,9,2,255,0.75918934,2.194339427
"(119.920703, 30.069438)",139,10.51068851,30.074438,30.064438,119.925703,119.915703,119.920703,30.069438,108,11.54025849,247,0.776978417,238,9.485569824,31.2859576,5,0,14,1,2,2,17,9,11,11,0,0,7,11,1,0,36,11,55,12,0,1,0,37,0.834607419,2.364620875
"(119.930703, 30.069438)",3473,18.21164934,30.074438,30.064438,119.935703,119.925703,119.930703,30.069438,3506,17.95648226,6979,1.009501872,907,15.87211318,30.47145412,5,0,41,21,25,4,42,49,22,154,0,3,23,22,10,9,141,27,154,56,0,4,1,99,0.827588392,2.479233255
"(119.930703, 30.079438)",394,8.624897988,30.084438,30.074438,119.935703,119.925703,119.930703,30.079438,618,14.78553959,1012,1.568527919,56,5.939407415,29.89438718,5,0,4,0,1,0,6,0,3,3,0,0,0,2,0,2,7,3,12,10,0,1,0,2,0.895391286,2.296633303
"(119.930703, 30.089438)",259,13.49463324,30.094438,30.084438,119.935703,119.925703,119.930703,30.089438,362,11.52015406,621,1.397683398,129,8.314840767,29.33952576,5,0,5,0,8,0,13,1,4,11,0,0,0,2,6,16,12,5,9,13,0,0,0,24,0.920018777,2.427982297
"(119.920703, 30.099438)",0,0,30.104438,30.094438,119.925703,119.915703,119.920703,30.099438,0,0,0,0,53,5.373323785,29.66707983,5,0,5,0,1,0,7,2,1,17,0,0,12,1,0,0,4,0,2,1,0,0,0,0,0.806175844,1.933125245
"(119.930703, 30.099438)",26,5.965132285,30.104438,30.094438,119.935703,119.925703,119.930703,30.099438,79,11.47927201,105,3.038461538,688,9.567597384,28.80811216,5,0,17,5,6,1,21,19,10,42,0,0,29,17,9,9,117,12,273,20,0,2,0,79,0.713155859,2.061285555
"(119.930703, 30.109438)",165,10.61327039,30.114438,30.104438,119.935703,119.925703,119.930703,30.109438,256,13.14580266,421,1.551515152,28,4.487808185,28.30142385,5,0,8,0,0,2,2,0,0,6,0,0,2,0,0,0,1,2,1,4,0,0,0,0,0.891145045,1.958045795
"(119.940703, 30.109438)",0,0,30.114438,30.104438,119.945703,119.935703,119.940703,30.109438,0,0,0,0,17,4.154557673,27.43615064,5,0,2,0,0,2,3,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.835874699,1.497686407
"(120.080703, 30.109438)",0,0,30.114438,30.104438,120.085703,120.075703,120.080703,30.109438,0,0,0,0,27,10.66293386,16.89240651,5,0,1,0,0,1,7,0,0,6,0,0,2,2,0,0,0,0,1,4,0,0,1,2,0.883252145,2.033763222
"(119.930703, 30.119438)",0,0,30.124438,30.114438,119.935703,119.925703,119.930703,30.119438,0,0,0,0,25,6.695431531,27.82076036,5,0,3,1,2,1,8,0,0,1,0,0,3,0,0,0,1,1,1,2,0,0,0,1,0.87684744,2.178884033
"(119.950703, 30.119438)",30,8.624957888,30.124438,30.114438,119.955703,119.945703,119.950703,30.119438,92,10.90811343,122,3.066666667,39,9.032854091,26.06870529,5,0,2,0,0,0,7,0,1,11,0,0,1,1,1,0,3,0,2,4,0,1,4,1,0.856936044,2.197997556
"(119.960703, 30.119438)",25,8.942068552,30.124438,30.114438,119.965703,119.955703,119.960703,30.119438,11,10.01740086,36,0.44,4,0.118695526,25.2061322,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.94639463,1.039720771
